Hospital,insurance_provider,total_billing,pct_of_hospital_revenue
Reese LLC,Cigna,31746.51,100
Reese PLC,UnitedHealthcare,29907.83,66.82
Reese PLC,Cigna,14851.79,33.18
Reeves Group,Aetna,46937.14,100
"Reeves, Berg and Wood",Aetna,13961.24,100
"Reeves, Hunt and Cruz",UnitedHealthcare,1036.08,100
"Reeves, Roy and Roberts",Medicare,37844.05,100
"Reeves, Ruiz and Lewis",Medicare,5429.63,100
Reeves-Lawrence,Blue Cross,28406.25,100
Reeves-Thomas,Cigna,23226.35,100
Reid Group,Cigna,46470.42,100
Reid Ltd,Cigna,28609.53,100
"Reid, Hall and Reynolds",Cigna,2295.19,100
"Reid, Wells and Dixon",Medicare,5530.72,100
Reid-Crosby,UnitedHealthcare,10467.72,100
Reid-Rasmussen,Aetna,22094.33,100
Reid-Stephenson,Aetna,33058.53,100
Reid-Thomas,Medicare,7485.05,100
Reilly LLC,Medicare,24714.11,100
Reilly Ltd,Cigna,48466.62,100
"Reilly, Decker and Johnson",Aetna,30263.18,100
"Reilly, Franklin and Spencer",Cigna,23316.6,100
Reyes Inc,Cigna,45444.29,100
Reyes LLC,Blue Cross,25721.76,100
Reyes Ltd,Cigna,39519.36,58.88
Reyes Ltd,Medicare,27599.38,41.12
Reyes PLC,UnitedHealthcare,31408.14,100
Reyes and Sons,Cigna,39008.29,92.51
Reyes and Sons,Blue Cross,3156.82,7.49
"Reyes, Baldwin and Garza",Medicare,37635.62,100
"Reyes, Freeman and Benton",Blue Cross,26386.82,100
"Reyes, Jordan and Stafford",Cigna,38216.07,100
"Reyes, May and Smith",UnitedHealthcare,41787.19,100
"Reyes, Mendoza and Jackson",Aetna,47415.91,100
Reyes-Alexander,Cigna,21459.09,100
Reyes-Conley,Medicare,16277.08,100
Reyes-Gallagher,Cigna,10827.12,100
Reyes-Garrett,Cigna,21152.56,100
Reyes-Hamilton,Medicare,20097.21,100
Reyes-King,UnitedHealthcare,9127.48,100
Reyes-Mills,Medicare,1042.98,100
Reyes-Morris,Aetna,26137.62,100
Reyes-Patel,Aetna,16530.73,100
Reyes-Roy,UnitedHealthcare,43801.88,100
Reyes-Scott,Cigna,44982,100
Reyes-Smith,Cigna,16965.96,100
Reyes-Wilkerson,Medicare,2511.47,100
Reynolds Inc,Aetna,37718.97,100
Reynolds LLC,Aetna,36683.82,82.97
Reynolds LLC,UnitedHealthcare,7531.64,17.03
Reynolds Ltd,Aetna,29727.46,51.93
Reynolds Ltd,Medicare,27521.06,48.07
Reynolds and Sons,Aetna,20720.02,100
"Reynolds, Carroll and Shelton",Cigna,34192.99,100
"Reynolds, Carter and Wilson",Medicare,42072.02,100
"Reynolds, Cortez and Lambert",Cigna,2825.86,100
"Reynolds, Delgado and Warren",Cigna,20773.27,100
"Reynolds, Dominguez and Brown",Blue Cross,38641.89,100
"Reynolds, Fletcher and Brewer",Cigna,49537.84,100
"Reynolds, George and Wilson",UnitedHealthcare,28835.05,100
"Reynolds, Gilmore and Harvey",Blue Cross,28249.4,100
"Reynolds, Lopez and Lewis",UnitedHealthcare,23953.53,100
"Reynolds, Maldonado and Stevens",UnitedHealthcare,33529.97,100
"Reynolds, Powers and Hernandez",Cigna,12449.35,100
"Reynolds, Rodriguez and Guerra",Blue Cross,32627.34,100
"Reynolds, Roman and Allen",Cigna,6285.27,100
"Reynolds, Wade and Harris",Aetna,45032.65,100
"Reynolds, Walters and Gordon",Blue Cross,2041.84,100
Reynolds-Atkins,Medicare,15730.49,100
Reynolds-Hill,Aetna,7624.26,100
Reynolds-Miranda,Blue Cross,1939.32,100
Reynolds-Morris,Aetna,24087.16,100
Reynolds-Rodriguez,Cigna,2923.35,100
Reynolds-Stewart,UnitedHealthcare,27596.4,100
Rhodes Group,Aetna,49332.84,100
Rhodes Ltd,Medicare,22722,100
Rhodes and Sons,Medicare,8368.84,100
"Rhodes, Butler and Johnson",Cigna,1259.72,100
"Rhodes, Jones and Gomez",Cigna,24305.53,100
Rhodes-Wheeler,Medicare,39386.44,100
Rice Group,UnitedHealthcare,38068.85,100
Rice LLC,Blue Cross,41263.2,100
Rice Ltd,UnitedHealthcare,42939.52,62.2
Rice Ltd,Blue Cross,26094.66,37.8
Rice PLC,Blue Cross,19844.04,100
"Rice, Torres and Newman",UnitedHealthcare,40706.76,100
Rice-Fritz,UnitedHealthcare,12326.52,100
Rice-Huff,Medicare,18632.72,100
Rice-Hunter,Medicare,30326.55,100
Rice-Mason,UnitedHealthcare,16327.11,100
Rice-Ortega,UnitedHealthcare,2166.6,100
Rich and Sons,Medicare,12826.47,100
"Rich, Hart and Edwards",Blue Cross,48960.84,100
"Richard, Reyes and Suarez",Medicare,12791.4,100
"Richard, Robinson and Thompson",Cigna,44832.04,100
Richards Group,Blue Cross,37566.4,100
Richards LLC,UnitedHealthcare,15045.98,89.08
Richards LLC,Aetna,1844.67,10.92
"Richards, Chavez and Sellers",Medicare,11531.45,100
"Richards, Marsh and Peterson",Medicare,3585.58,100
Richards-Davis,Aetna,21748.62,100
Richards-George,UnitedHealthcare,4396.56,100
Richards-Herrera,UnitedHealthcare,28947.4,100
Richards-Simmons,Medicare,27194.71,100
Richards-Thompson,Aetna,8473.01,100
Richards-Young,Medicare,22619.04,100
Richardson Group,Aetna,46684.49,81.63
Richardson Group,Medicare,10507.02,18.37
Richardson Inc,Cigna,67533.73,60.35
Richardson Inc,Blue Cross,44374.04,39.65
Richardson LLC,Medicare,7553.51,100
Richardson Ltd,Cigna,45141.18,64.67
Richardson Ltd,Blue Cross,24657.16,35.33
Richardson and Sons,Blue Cross,26561.15,51.63
Richardson and Sons,UnitedHealthcare,24886.95,48.37
"Richardson, Cole and Jones",Blue Cross,35174.46,100
"Richardson, Rodriguez and Moore",Blue Cross,2485.62,100
"Richardson, Smith and Kane",UnitedHealthcare,11319.77,100
"Richardson, Steele and Hernandez",Cigna,45151.27,100
"Richardson, Taylor and Matthews",Medicare,33544.43,100
"Richardson, Williams and Fletcher",Aetna,11292.69,100
Richardson-Buchanan,Medicare,26858.57,100
Richardson-Buck,Cigna,49929.8,100
Richardson-Garcia,Medicare,8319.88,100
Richardson-Haas,Cigna,5290.4,100
Richardson-Hinton,UnitedHealthcare,33534.25,100
Richardson-Lawrence,Medicare,39303.05,100
Richardson-Lopez,Blue Cross,6791.32,100
Richardson-Moore,Aetna,6917.46,100
Richardson-Murphy,Cigna,28184.13,100
Richardson-Osborn,Blue Cross,34465.82,100
Richardson-Powell,Cigna,13669.38,100
Richardson-Ward,Aetna,37655.77,100
Richmond Group,Aetna,44560.57,100
Richmond Inc,Medicare,44520.33,100
Richmond-Hensley,Blue Cross,3344.38,100
Riddle PLC,Aetna,22269.56,100
Riddle-Williams,Cigna,19391.59,100
Riggs Ltd,Cigna,1103.56,100
Riggs and Sons,UnitedHealthcare,48530.12,100
"Riggs, Delgado and Johnson",Medicare,20375.11,100
Riggs-Vance,UnitedHealthcare,4143.8,100
Riggs-Wells,UnitedHealthcare,34805.29,100
Riley Ltd,Cigna,32740.93,100
Riley PLC,Aetna,43949.35,100
Riley and Sons,Blue Cross,29519.28,100
"Riley, Price and Reyes",Aetna,12776.87,100
"Riley, Thompson and Powell",Cigna,2883.14,100
Riley-Kelly,Medicare,26649.65,100
Riley-Kennedy,Cigna,47678.16,100
Rios LLC,UnitedHealthcare,33030.1,100
"Rios, Fischer and Hill",Medicare,10991.03,100
"Rios, Holland and Anderson",Medicare,42261.11,100
"Rios, King and Khan",Aetna,47551.64,100
Rios-Adams,Cigna,24455.72,100
Rios-Huerta,UnitedHealthcare,34461.72,100
Rios-Pratt,Medicare,23968.32,100
Ritter LLC,UnitedHealthcare,42567.66,100
"Ritter, Nelson and West",UnitedHealthcare,22484.01,100
Rivas LLC,UnitedHealthcare,39115.85,100
Rivas and Sons,Aetna,44030.33,100
"Rivas, Rodriguez and Novak",Medicare,26973.66,100
Rivera Group,Aetna,41130.34,52.29
Rivera Group,UnitedHealthcare,37522.18,47.71
Rivera Inc,Medicare,34926.43,100
Rivera LLC,UnitedHealthcare,24403.63,100
Rivera Ltd,Blue Cross,39042.78,67.64
Rivera Ltd,Aetna,18679.07,32.36
Rivera PLC,UnitedHealthcare,1836.16,100
Rivera and Sons,UnitedHealthcare,51102.42,100
"Rivera, Flores and Wallace",UnitedHealthcare,16766.55,100
"Rivera, Kane and Green",Cigna,22673.16,100
"Rivera, Nelson and Bowers",Aetna,9451.88,100
Rivera-Adams,UnitedHealthcare,13016.53,100
Rivera-Allen,Aetna,41279.32,100
Rivera-Brewer,Cigna,49213.85,100
Rivera-Carr,Blue Cross,33811.69,100
Rivera-Carter,UnitedHealthcare,12630.4,100
Rivera-Crane,UnitedHealthcare,15549.41,100
Rivera-Cruz,Cigna,21357.21,100
Rivera-Delgado,Blue Cross,11391.12,100
Rivera-King,Cigna,34967.33,100
Rivera-Knight,UnitedHealthcare,42895.64,100
Rivera-Palmer,Medicare,18941.66,100
Rivera-Reed,Aetna,7840.69,100
Rivera-Rodriguez,UnitedHealthcare,7051.33,100
Rivera-Sullivan,Medicare,28922.66,100
Rivera-Thomas,Blue Cross,17611.86,100
Rivera-Woodard,UnitedHealthcare,14109.79,100
Rivers Group,Blue Cross,12194.93,100
Rivers LLC,UnitedHealthcare,49879.16,94.73
Rivers LLC,Medicare,2776.65,5.27
Rivers PLC,Aetna,44153.06,100
"Rivers, Mason and Bowman",UnitedHealthcare,21581.42,100
Rivers-Gibson,Blue Cross,46994.17,100
Rivers-Mills,Aetna,14030.76,100
Roach Group,Cigna,27691.67,100
"Roach, Bruce and Hill",Cigna,1565.32,100
Roach-Adams,UnitedHealthcare,18452.33,100
Roach-Allen,Medicare,27022.14,100
Robbins Group,Blue Cross,13225.17,100
Robbins Ltd,Medicare,20480.13,50.65
Robbins Ltd,Blue Cross,19955.34,49.35
"Robbins, Reyes and Adams",Blue Cross,13829.91,100
"Robbins, Simpson and French",Medicare,37092.67,100
Robbins-Pierce,Blue Cross,39094.68,100
Robbins-Porter,Blue Cross,3128.25,100
Robbins-Riley,Medicare,24511.63,100
Roberson Inc,Aetna,30413.43,100
"Roberson, Boyd and Harris",Blue Cross,25974.55,100
Roberson-Dean,Blue Cross,1150.04,100
Roberson-Hubbard,UnitedHealthcare,24048.27,100
Roberts Group,Cigna,18926.59,100
Roberts Inc,Aetna,36305.42,78.81
Roberts Inc,Blue Cross,9763.37,21.19
Roberts LLC,Medicare,40804.67,73.85
Roberts LLC,Blue Cross,14451.5,26.15
Roberts Ltd,Blue Cross,22394.24,100
Roberts PLC,UnitedHealthcare,33119.39,100
Roberts and Sons,Cigna,33093.62,74.11
Roberts and Sons,UnitedHealthcare,11559.83,25.89
"Roberts, Davis and Spears",Aetna,33352.49,100
"Roberts, Kirk and Green",UnitedHealthcare,2117.91,100
"Roberts, Lamb and Preston",UnitedHealthcare,34654.84,100
"Roberts, Lewis and Harper",Aetna,29197.81,100
"Roberts, Perry and Moran",Cigna,31080.43,100
"Roberts, Savage and Cannon",Aetna,31242.3,100
"Roberts, Washington and Martinez",Aetna,17834.52,100
Roberts-Barnes,Cigna,40297.07,100
Roberts-Clark,Blue Cross,20791.15,100
Roberts-Diaz,Aetna,11837.9,100
Roberts-Dixon,Blue Cross,24634.73,100
Roberts-Elliott,Aetna,27165.33,100
Roberts-Hale,Blue Cross,2380.1,100
Roberts-Marshall,Cigna,48910.62,100
Roberts-Mosley,Blue Cross,15649.49,100
Roberts-Murphy,Aetna,29283.02,100
Roberts-Rogers,UnitedHealthcare,46865.63,100
Roberts-Rollins,Aetna,13483.9,100
Roberts-Santos,Blue Cross,37045.19,100
Roberts-Vincent,Cigna,36057.88,100
Robertson PLC,Medicare,48379.06,48.93
Robertson PLC,Blue Cross,47335.42,47.87
Robertson PLC,Aetna,3165.22,3.2
"Robertson, Ewing and Jackson",UnitedHealthcare,22729.2,100
"Robertson, Lopez and Henson",UnitedHealthcare,5743.8,100
"Robertson, Mullins and Kirk",Aetna,36635.17,100
"Robertson, Pittman and Olsen",UnitedHealthcare,32160.31,100
Robertson-Rodriguez,Aetna,37737.13,100
Robertson-Smith,Aetna,48155.11,100
Robertson-Stokes,Medicare,21265.85,100
Robertson-Weaver,Medicare,1540.12,100
Robinson Group,Medicare,84328.37,41.15
Robinson Group,Blue Cross,58544.58,28.57
Robinson Group,Cigna,57663.28,28.14
Robinson Inc,Blue Cross,49028.83,94.81
Robinson Inc,Aetna,2684.24,5.19
Robinson LLC,Medicare,44305.13,43.1
Robinson LLC,Cigna,35229.38,34.27
Robinson LLC,Aetna,23250.1,22.62
Robinson Ltd,Cigna,19218.48,100
Robinson PLC,Cigna,1827.94,100
Robinson and Sons,Medicare,33590.02,63.37
Robinson and Sons,Blue Cross,16914.79,31.91
Robinson and Sons,Cigna,2499.41,4.72
"Robinson, Anderson and Barnett",Medicare,49843.47,100
"Robinson, Carr and Garza",UnitedHealthcare,47964.57,100
"Robinson, Edwards and Jones",Medicare,12708.05,100
"Robinson, Franklin and Perry",Blue Cross,20649.39,100
"Robinson, Hall and Cox",UnitedHealthcare,34614.54,100
"Robinson, Pitts and Hill",Blue Cross,11289.85,100
"Robinson, Reed and Cooper",Aetna,19079.52,100
"Robinson, Riley and Black",UnitedHealthcare,33989.65,100
"Robinson, Rogers and Bowers",Cigna,47390.49,100
"Robinson, Scott and Harris",Medicare,27550.77,100
"Robinson, Thompson and Dixon",Cigna,10029.23,100
"Robinson, Valdez and Daniels",Medicare,19764.34,100
"Robinson, Wallace and Johns",Blue Cross,35774.26,100
Robinson-Armstrong,Blue Cross,23210.81,100
Robinson-Booth,Cigna,1540.87,100
Robinson-Burnett,Aetna,26120.3,100
Robinson-Daugherty,Medicare,11300.53,100
Robinson-Ellison,UnitedHealthcare,15596.58,100
Robinson-Ferguson,Cigna,36417.61,100
Robinson-Johnson,UnitedHealthcare,28151.67,100
Robinson-Kirby,Aetna,20525.26,100
Robinson-Klein,Aetna,40706.28,100
Robinson-Mccall,Cigna,20605.68,100
Robinson-Miller,Cigna,41841.76,100
Robinson-Moore,Medicare,39862.53,100
Robinson-Odonnell,Cigna,33301.63,100
Robinson-Parks,Blue Cross,48896.34,100
Robinson-Sanders,Blue Cross,42914.23,100
Robinson-Sloan,Cigna,46526.24,100
Robinson-Zhang,UnitedHealthcare,44194.44,100
Robles Group,Aetna,35023.69,100
Robles Ltd,UnitedHealthcare,33636.86,100
"Robles, Cameron and Jennings",Cigna,49898.21,100
"Robles, Hernandez and Salinas",Aetna,39957.23,100
"Robles, Pollard and Andersen",UnitedHealthcare,22812.19,100
Robles-Harris,UnitedHealthcare,32158.62,100
Robles-Johnston,UnitedHealthcare,43926.65,100
Robles-Miller,Aetna,8455.93,100
Robles-Morris,UnitedHealthcare,21430.72,100
Robles-Thompson,Aetna,49223.72,100
Robles-Torres,Aetna,43297.73,100
Rocha and Sons,Aetna,2095.16,100
"Rocha, Krause and Cook",Cigna,17210.36,100
"Rocha, Rodriguez and Klein",Medicare,31430.9,100
Rocha-Mason,UnitedHealthcare,47127.79,100
Rodgers LLC,Medicare,23958.48,100
"Rodgers, Bird and Valencia",UnitedHealthcare,18417.03,100
"Rodgers, Martin and Bridges",Cigna,37081.46,100
Rodgers-Gray,UnitedHealthcare,31233.54,100
Rodgers-Smith,UnitedHealthcare,12294.4,100
Rodgers-Walker,UnitedHealthcare,13962.43,100
Rodgers-Wallace,Medicare,20948.87,100
Rodriguez Group,UnitedHealthcare,61445.46,41.38
Rodriguez Group,Aetna,41504.12,27.95
Rodriguez Group,Medicare,25696.08,17.3
Rodriguez Inc,Medicare,27990.05,63.91
Rodriguez Inc,Aetna,15804.65,36.09
Rodriguez LLC,UnitedHealthcare,56723.04,34.24
Rodriguez LLC,Medicare,45653.76,27.56
Rodriguez LLC,Cigna,29272.27,17.67
Rodriguez Ltd,UnitedHealthcare,34772.32,100
Rodriguez PLC,UnitedHealthcare,35030.96,37.78
Rodriguez PLC,Medicare,29463.07,31.78
Rodriguez PLC,Blue Cross,28221.34,30.44
Rodriguez and Sons,Cigna,35611.22,34.68
Rodriguez and Sons,UnitedHealthcare,28165.37,27.43
Rodriguez and Sons,Medicare,24357.61,23.72
"Rodriguez, Aguilar and Zimmerman",Medicare,29210.18,100
"Rodriguez, Atkins and Brewer",Blue Cross,33858.91,100
"Rodriguez, Barrett and Thompson",Medicare,41333.6,100
"Rodriguez, Brock and Hill",UnitedHealthcare,36786.38,100
"Rodriguez, Duarte and Lewis",UnitedHealthcare,30994.68,100
"Rodriguez, Ellis and Young",Blue Cross,26442.36,100
"Rodriguez, Henderson and Davis",Blue Cross,14469.47,100
"Rodriguez, Hoffman and Alexander",Blue Cross,3954.39,100
"Rodriguez, Lang and Butler",UnitedHealthcare,48634.6,100
"Rodriguez, Lloyd and Durham",UnitedHealthcare,17471.82,100
"Rodriguez, Lowery and Williams",Aetna,47302.27,100
"Rodriguez, Lozano and Macias",Cigna,13559.56,100
"Rodriguez, Mendez and Luna",Blue Cross,4520.43,100
"Rodriguez, Miranda and Phillips",UnitedHealthcare,8033.23,100
"Rodriguez, Rivera and Stone",UnitedHealthcare,15258.26,100
"Rodriguez, Sanchez and Porter",UnitedHealthcare,29963.78,100
"Rodriguez, Taylor and Ruiz",Medicare,40039.26,100
"Rodriguez, Tran and Ortiz",Medicare,25348.5,100
"Rodriguez, Watson and Jackson",Aetna,39261.9,100
"Rodriguez, Wilson and Nichols",Blue Cross,40959.46,100
"Rodriguez, Wright and Jackson",UnitedHealthcare,41052.04,100
Rodriguez-Adams,Aetna,43386.58,100
Rodriguez-Boyd,Aetna,30478.78,100
Rodriguez-Brown,Blue Cross,22205.91,100
Rodriguez-Caldwell,Medicare,10624.53,100
Rodriguez-Carter,Medicare,35504.51,100
Rodriguez-Choi,Blue Cross,13923.72,100
Rodriguez-Cox,Cigna,26808.23,100
Rodriguez-Esparza,Medicare,8106.63,100
Rodriguez-Holland,Cigna,38922.33,100
Rodriguez-Johnson,Medicare,20925.31,100
Rodriguez-Jordan,Blue Cross,49114.82,100
Rodriguez-King,Aetna,49199.75,100
Rodriguez-Kirk,Medicare,6147.78,100
Rodriguez-Martinez,Cigna,37386.16,100
Rodriguez-Mills,UnitedHealthcare,4615.15,100
Rodriguez-Morgan,Blue Cross,39731.43,100
Rodriguez-Newman,Aetna,35336.88,100
Rodriguez-Oliver,Aetna,45776.19,100
Rodriguez-Reese,Blue Cross,40920.74,100
Rodriguez-Ritter,Cigna,12684.63,100
Rodriguez-Robertson,Cigna,46461.82,100
Rodriguez-Rojas,Medicare,36569.74,100
Rodriguez-Schultz,Blue Cross,19715.41,100
Rogers Group,Blue Cross,41665.42,57.85
Rogers Group,Aetna,30355.59,42.15
Rogers LLC,Cigna,24049.06,51.66
Rogers LLC,UnitedHealthcare,22506.33,48.34
Rogers Ltd,UnitedHealthcare,44519.63,100
Rogers PLC,Medicare,47947.43,100
Rogers and Sons,Cigna,46572.24,38.33
Rogers and Sons,UnitedHealthcare,43241.42,35.59
Rogers and Sons,Blue Cross,31681.84,26.08
"Rogers, Allen and Baker",Cigna,47837.8,100
"Rogers, Fischer and Johnson",Cigna,45109.45,100
"Rogers, Hodges and Weber",Blue Cross,33278.12,100
"Rogers, Mathis and Alexander",Cigna,43861.89,100
"Rogers, Robertson and Townsend",UnitedHealthcare,3827.48,100
"Rogers, Ryan and Sims",Cigna,15964.41,100
"Rogers, Spears and Johnson",Aetna,36353.38,100
Rogers-Burton,Medicare,31110.74,100
Rogers-Dickerson,UnitedHealthcare,8883.19,100
Rogers-Howe,Aetna,41803.37,100
Rogers-Jackson,Blue Cross,49591.49,100
Rogers-Johnson,Aetna,20356.31,100
Rogers-Miranda,UnitedHealthcare,36544.75,100
Rogers-Neal,Medicare,35159.08,100
Rogers-Nichols,Blue Cross,26475.72,53.37
Rogers-Nichols,Cigna,23128.82,46.63
Rogers-Ramirez,Aetna,14748.69,100
Rogers-Reyes,UnitedHealthcare,31849.15,100
Rogers-Strickland,Medicare,35481.76,100
Rogers-Thompson,UnitedHealthcare,11299.3,100
Rogers-Young,Aetna,34796.3,100
Rojas and Sons,Medicare,42997.26,100
"Rojas, Davis and Carrillo",Medicare,37583.68,100
"Rojas, Sandoval and Lane",Aetna,39456.8,100
"Rojas, Walker and Oneal",Medicare,19532.53,100
Rojas-Cook,Blue Cross,19989.17,100
Rojas-Underwood,Cigna,26987.12,100
Rojas-Williams,UnitedHealthcare,24793.52,100
Rollins Ltd,Aetna,48790.6,100
Rollins-Hall,Blue Cross,47105.88,100
Rollins-Khan,Cigna,11503.79,100
Roman Group,UnitedHealthcare,43318.94,100
Roman PLC,Medicare,28410.25,100
"Roman, Anderson and Foley",Medicare,13242.13,100
"Roman, Ruiz and Cox",Aetna,3414.14,100
"Roman, Russell and Harrison",Medicare,13697.63,100
Roman-Williams,Cigna,25357.53,100
Romero Group,Medicare,18467.28,100
Romero Inc,Blue Cross,48074.67,66.23
Romero Inc,Medicare,24518.21,33.77
Romero LLC,Medicare,34562.8,81.93
Romero LLC,Aetna,7622.07,18.07
Romero and Sons,Blue Cross,41714.73,86.91
Romero and Sons,Cigna,6281.27,13.09
"Romero, Alexander and Rodriguez",Aetna,18997.96,100
"Romero, Estes and Davies",Medicare,31848.84,100
"Romero, Fisher and Doyle",Cigna,28194.6,100
"Romero, Gonzalez and Murillo",Aetna,45240.43,100
"Romero, Hunter and Phillips",UnitedHealthcare,24271.01,100
"Romero, Mendez and Clark",Medicare,16520.25,100
"Romero, Moreno and Parsons",Cigna,35260.81,100
"Romero, Phillips and Rasmussen",Medicare,24318.94,100
"Romero, Robinson and Watts",Medicare,26907.89,100
"Romero, Sloan and Rodriguez",UnitedHealthcare,49006.7,100
Romero-Morgan,Aetna,8970,100
Romero-Stewart,Medicare,17853.73,100
Rosales Group,Cigna,44847.53,68
Rosales Group,Medicare,21106.16,32
Rosales Inc,Cigna,37797.68,100
Rosales PLC,Medicare,10187.72,100
"Rosales, Campbell and Thomas",UnitedHealthcare,39647.52,100
"Rosales, Lyons and Aguilar",Cigna,5092.75,100
Rosales-Mcneil,Aetna,35483.87,100
Rosales-Mendoza,Medicare,46859.3,100
Rosales-Miller,Medicare,16596.41,100
Rosario Inc,Medicare,32026.07,100
Rosario PLC,Blue Cross,39238.11,100
"Rosario, Colon and Price",Blue Cross,43393.65,100
Rosario-May,UnitedHealthcare,13121.03,100
Rosario-Simpson,Blue Cross,25248.06,100
Rose Group,Aetna,38189.75,68.65
Rose Group,Medicare,17437.23,31.35
Rose Inc,Blue Cross,48132.22,49.2
Rose Inc,Cigna,43521.32,44.48
Rose Inc,Medicare,6185.9,6.32
Rose Ltd,Medicare,31934.69,100
Rose PLC,Blue Cross,33010.21,55.09
Rose PLC,Medicare,26910.25,44.91
"Rose, Foley and Solomon",Cigna,17821.32,100
"Rose, Morgan and Rodriguez",Medicare,33337.25,100
"Rose, Morton and Mccormick",Aetna,32768.47,100
"Rose, Neal and Williams",Medicare,18682.23,100
"Rose, Richard and Hernandez",Blue Cross,13393.26,100
"Rose, Vargas and Fox",Medicare,1057.02,100
"Rose, Watson and Pierce",UnitedHealthcare,37733.91,100
"Rose, Wilson and Hays",Cigna,42381.34,100
Rose-Decker,UnitedHealthcare,11777.15,100
Rose-Holmes,Blue Cross,4578.99,100
Rose-Mckenzie,Blue Cross,38261.23,100
Rose-Mejia,Blue Cross,15446.76,100
Rose-Smith,UnitedHealthcare,16320.88,100
Rose-Walker,Blue Cross,43176.17,53.37
Rose-Walker,Medicare,37726.75,46.63
Ross Group,Aetna,26636.97,100
Ross Inc,Blue Cross,3818.6,100
Ross LLC,Blue Cross,46415.71,100
Ross and Sons,Medicare,14701.09,100
"Ross, Cooper and Thompson",Aetna,34556.18,100
"Ross, Vasquez and Mcclain",Cigna,48575.77,100
"Ross, Walters and Gordon",Blue Cross,2742.37,100
Ross-Brown,UnitedHealthcare,35589.82,100
Ross-English,Blue Cross,17181.38,100
Ross-Hall,Medicare,35750.67,100
Ross-Kelly,Medicare,10591.27,100
Ross-Lewis,Blue Cross,47346.49,100
Ross-Murphy,Cigna,19107.63,100
Ross-Perkins,Blue Cross,43350.3,100
Roth Group,Aetna,6005.41,100
"Roth, Goodman and Green",Medicare,24954.73,100
Roth-Allen,Blue Cross,6872.29,100
Roth-Hawkins,Cigna,27335.92,100
Rowe Group,Blue Cross,2249.46,100
Rowe Inc,Cigna,10983.65,100
Rowe Ltd,UnitedHealthcare,27851.91,100
"Rowe, Gonzalez and Crawford",Cigna,4091.41,100
"Rowe, May and Ramirez",Medicare,5805.1,100
"Rowe, Pearson and George",Blue Cross,40837.91,100
Rowe-Ball,Medicare,21060.98,100
Roy Ltd,UnitedHealthcare,25039.32,53.16
Roy Ltd,Medicare,22065.28,46.84
"Roy, Jones and Carter",Medicare,42572.48,100
"Roy, Romero and Kirby",Aetna,40064.44,100
Roy-Johnson,UnitedHealthcare,40303.69,100
Roy-Sloan,Cigna,11934.97,100
Rubio Group,Medicare,38358.7,100
Rubio LLC,Blue Cross,44835.55,79.21
Rubio LLC,UnitedHealthcare,11767.73,20.79
Rubio and Sons,Cigna,16635.45,100
Ruiz Group,UnitedHealthcare,46915.75,100
Ruiz Inc,Aetna,31840.88,58.25
Ruiz Inc,Blue Cross,22822.99,41.75
Ruiz LLC,Cigna,28572.96,100
"Ruiz, Baker and Vargas",Aetna,48554.76,100
"Ruiz, Charles and Clark",UnitedHealthcare,20494.2,100
"Ruiz, Palmer and Hernandez",Aetna,28768.91,100
"Ruiz, Park and Fischer",Blue Cross,42037.05,100
Ruiz-Hooper,Blue Cross,14923.15,100
Ruiz-Perez,Cigna,31966.84,100
Ruiz-Stanley,Medicare,43475.25,100
Ruiz-Walker,Blue Cross,9350.32,100
Ruiz-Wilson,UnitedHealthcare,24493.37,100
"Rush, Owens and Johnson",Blue Cross,16609.31,100
Russell Group,Medicare,13087.86,100
Russell Inc,Medicare,49180.38,100
Russell Ltd,Cigna,44226.34,100
Russell PLC,Blue Cross,48399.47,100
Russell and Sons,Medicare,47004.94,100
"Russell, Cook and Andrews",Aetna,8242.53,100
"Russell, Hendricks and Bowman",Cigna,5870.64,100
"Russell, Johnson and Tran",Cigna,36020.03,100
"Russell, Moreno and Johnson",Aetna,20514.68,100
"Russell, Murray and Baker",UnitedHealthcare,22673.33,100
"Russell, Nichols and Wilson",Blue Cross,7056.42,100
"Russell, Smith and Saunders",Aetna,1068.42,100
"Russell, Taylor and Mcclain",Blue Cross,20152.93,100
Russell-James,Medicare,37033.25,100
Russell-Murphy,Aetna,33777.33,100
Russell-Perry,Blue Cross,47519.37,100
Russell-Rubio,Blue Cross,31600.77,100
Russell-Wells,Aetna,39683.69,100
Russell-West,Cigna,22146.76,100
Russell-Williamson,Aetna,26683.86,100
Russell-Zuniga,Medicare,23936.09,100
Russo Group,Blue Cross,19213.05,100
"Russo, Carlson and Johnson",Medicare,6556.96,100
"Russo, Mccall and Clark",Aetna,24428.3,100
"Russo, Rhodes and Mckenzie",Aetna,14200.8,100
Russo-Gillespie,Medicare,37929.16,100
Russo-Le,Medicare,31347.13,100
Ryan Inc,UnitedHealthcare,14838.2,100
Ryan LLC,Blue Cross,47406.65,100
Ryan Ltd,UnitedHealthcare,4600.01,100
Ryan PLC,Blue Cross,32086.24,100
"Ryan, Haley and Richardson",UnitedHealthcare,46231.48,100
"Ryan, Lee and Rose",UnitedHealthcare,22962.32,100
"Ryan, Montes and Daugherty",Aetna,32017.27,100
"Ryan, Werner and Harper",Blue Cross,3943.88,100
"Ryan, Willis and Hardy",Aetna,28247.76,100
Ryan-Gutierrez,UnitedHealthcare,40778.51,100
Ryan-Herman,Aetna,24303.14,100
Ryan-Moss,Aetna,45775.04,100
